instance,response,bagID,1,8,-0.117,5,1,8,-0.117
133,1,3,1,11,0.009,5,1,8,-0.121
134,1,3,1,11,0.009,5,1,11,-0.091
135,1,3,1,11,-0.091,5,1,11,0.009
136,1,3,1,11,-0.091,5,1,11,-0.091
137,1,3,1,11,-0.091,5,1,11,-0.091
138,1,3,1,11,-0.091,5,1,11,0.009
139,1,3,1,11,0.009,5,1,11,-0.091
140,1,3,1,11,0.009,5,1,8,0.009
141,1,3,1,8,0.009,5,1,11,0.009
142,1,3,1,8,0.009,5,1,8,0.009
143,1,3,1,8,0.009,5,1,8,0.009
144,1,3,1,8,0.009,5,1,11,0.009
145,1,3,1,11,0.009,5,1,8,0.009
146,1,3,1,11,0.009,5,1,8,-0.121
147,1,3,1,8,-0.121,5,1,11,0.009
148,1,3,1,8,-0.121,5,1,8,-0.121
149,1,3,1,8,-0.121,5,1,8,-0.121
150,1,3,1,8,-0.121,5,1,8,-0.122
151,1,3,1,8,-0.122,5,1,8,-0.121
152,1,3,1,8,-0.122,5,1,11,0.009
153,1,3,1,11,0.009,5,1,8,-0.122
154,1,3,1,8,0.009,0,1,3,-0.091
155,1,3,1,3,-0.091,0,1,8,0.009
156,1,3,1,3,-0.091,0,1,3,-0.091
157,1,3,1,3,-0.091,0,1,3,-0.091
158,1,3,1,3,-0.091,0,1,3,-0.091
159,1,3,1,3,-0.091,0,1,3,-0.091
160,1,3,1,3,-0.091,0,1,3,-0.091
161,1,3,1,3,-0.091,0,1,3,-0.091
162,1,3,1,3,-0.091,0,1,8,0.009
163,1,3,1,8,0.009,0,1,3,-0.091
164,1,3,1,8,-0.121,0,6,19,0.808
165,1,3,6,19,0.808,0,1,8,-0.121
166,1,3,6,19,0.808,1,7,20,-0.392
167,1,3,7,20,-0.392,1,6,19,0.808
168,1,3,6,19,0.808,1,7,20,-0.392
169,1,3,7,20,-0.392,1,6,19,0.808
170,1,3,1,8,-0.121,0,4,1,0.138
171,1,3,4,1,0.138,0,1,8,-0.121
172,1,3,1,8,-0.121,0,4,1,0.138
173,1,3,4,1,0.138,0,1,8,-0.121
174,1,3,1,8,-0.122,0,4,1,0.138
175,1,3,4,1,0.138,0,1,8,-0.122
176,1,3,1,8,-0.121,0,4,1,0.138
177,1,3,4,1,0.138,0,1,8,-0.121
178,1,3,1,8,-0.121,0,4,1,0.138
179,1,3,4,1,0.138,0,1,8,-0.121
180,1,3,1,8,-0.121,0,4,1,0.138
181,1,3,4,1,0.138,0,1,8,-0.121
182,1,3,1,8,-0.122,0,4,1,0.138
183,1,3,4,1,0.138,0,1,8,-0.122
184,1,3,1,3,-0.091,0,4,1,0.059
185,1,3,4,1,0.059,0,1,3,-0.091
186,1,3,1,3,-0.091,0,4,1,0.059
187,1,3,4,1,0.059,0,1,3,-0.091
188,1,3,1,3,-0.091,0,4,1,0.059
189,1,3,4,1,0.059,0,1,3,-0.091
190,1,3,1,3,-0.091,0,4,1,0.059
191,1,3,4,1,0.059,0,1,3,-0.091
192,1,3,1,3,-0.091,0,4,1,0.059
193,1,3,4,1,0.059,0,1,3,-0.091
194,1,3,1,3,-0.091,0,4,1,0.059
195,1,3,4,1,0.059,0,1,3,-0.091
196,1,3,1,3,-0.091,0,4,1,0.059
197,1,3,4,1,0.059,0,1,3,-0.091
198,1,3,1,3,-0.091,0,4,1,0.059
199,1,3,4,1,0.059,0,1,3,-0.091
200,1,4,1,8,-0.119,5,1,8,-0.119
201,1,4,1,8,-0.119,5,1,8,-0.119
202,1,4,1,8,-0.119,5,1,8,0.111
203,1,4,1,8,0.111,5,1,8,-0.119
204,1,4,1,8,0.111,5,1,13,0.011
205,1,4,1,13,0.011,5,1,8,0.111
206,1,4,1,13,0.011,5,1,8,-0.119
207,1,4,1,8,-0.119,5,1,13,0.011
208,1,4,1,8,-0.119,5,1,8,-0.119
209,1,4,1,8,-0.119,5,1,8,-0.119
210,1,4,1,8,-0.119,5,1,8,-0.119
211,1,4,1,8,-0.119,5,1,8,-0.119
212,1,4,1,8,-0.119,0,4,1,0.141
213,1,4,4,1,0.141,0,1,8,-0.119
214,1,4,1,8,-0.119,0,4,1,0.141
215,1,4,4,1,0.141,0,1,8,-0.119
216,1,4,1,8,0.111,5,1,8,-0.119
217,1,4,1,8,-0.119,5,1,8,0.111
218,1,4,1,8,-0.119,5,1,8,-0.119
219,1,4,1,8,-0.119,5,1,8,-0.119
220,1,4,1,8,-0.119,5,1,8,-0.119
221,1,4,1,8,-0.119,5,1,8,-0.119
222,1,4,1,8,-0.119,5,1,8,-0.119
223,1,4,1,8,-0.119,5,1,8,-0.119
224,1,4,1,8,-0.119,5,1,13,0.011
225,1,4,1,13,0.011,5,1,8,-0.119
226,1,4,1,13,0.011,5,1,8,0.111
227,1,4,1,8,0.111,5,1,13,0.011
228,1,4,1,8,-0.119,0,4,1,0.141
229,1,4,4,1,0.141,0,1,8,-0.119
230,1,4,1,8,-0.119,0,4,1,0.141
231,1,4,4,1,0.141,0,1,8,-0.119
232,1,4,1,13,0.011,0,1,13,0.011
233,1,4,1,13,0.011,0,1,13,0.011
234,1,4,1,8,0.111,0,1,4,0.56
235,1,4,1,4,0.56,0,1,8,0.111
236,1,4,1,4,0.56,0,1,8,0.111
237,1,4,1,8,0.111,0,1,4,0.56
238,1,4,1,4,0.56,1,7,20,-0.54
239,1,4,7,20,-0.54,1,1,4,0.56
240,1,4,1,8,-0.119,0,6,19,0.81
241,1,4,6,19,0.81,0,1,8,-0.119
242,1,4,1,8,-0.119,0,6,19,0.81
243,1,4,6,19,0.81,0,1,8,-0.119
244,1,4,1,8,-0.119,0,6,19,0.81
245,1,4,6,19,0.81,0,1,8,-0.119
246,1,4,1,8,-0.119,0,6,19,0.81
247,1,4,6,19,0.81,0,1,8,-0.119
248,1,4,6,19,0.81,1,7,20,-0.39
249,1,4,7,20,-0.39,1,6,19,0.81
250,1,4,6,19,0.81,1,7,20,-0.389
251,1,4,7,20,-0.389,1,6,19,0.81
252,1,4,6,19,0.81,1,7,20,-0.389
253,1,4,7,20,-0.389,1,6,19,0.81
254,1,4,6,19,0.81,1,7,20,-0.389
255,1,4,7,20,-0.389,1,6,19,0.81
256,1,4,6,19,0.81,1,7,20,-0.389
257,1,4,7,20,-0.389,1,6,19,0.81
258,1,4,6,19,0.81,1,7,20,-0.39
259,1,4,7,20,-0.39,1,6,19,0.81
260,1,4,6,19,0.81,1,7,20,-0.39
261,1,4,7,20,-0.39,1,6,19,0.81
262,1,4,6,19,0.81,1,7,20,-0.39
263,1,4,7,20,-0.39,1,6,19,0.81
264,1,5,1,8,-0.118,5,1,8,-0.118
265,1,5,1,8,-0.118,5,1,8,-0.118
266,1,5,1,8,-0.118,5,1,11,0.012
267,1,5,1,11,0.012,5,1,8,-0.118
268,1,5,1,11,0.012,5,1,11,-0.088
269,1,5,1,11,-0.088,5,1,11,0.012
270,1,5,1,11,-0.088,5,1,11,0.012
271,1,5,1,11,0.012,5,1,11,-0.088
272,1,5,1,11,0.012,5,1,8,-0.118
273,1,5,1,8,-0.118,5,1,11,0.012
274,1,5,1,8,-0.118,5,1,8,-0.118
275,1,5,1,8,-0.118,5,1,8,-0.118
276,1,5,1,8,-0.118,0,4,1,0.141
277,1,5,4,1,0.141,0,1,8,-0.118
278,1,5,1,8,-0.118,0,4,1,0.142
279,1,5,4,1,0.142,0,1,8,-0.118
280,1,5,1,8,-0.118,0,4,1,0.142
281,1,5,4,1,0.142,0,1,8,-0.118
282,1,5,1,11,0.012,5,1,8,-0.118
283,1,5,1,8,-0.118,5,1,11,0.012
284,1,5,1,8,-0.118,5,1,8,-0.118
285,1,5,1,8,-0.118,5,1,8,-0.118
286,1,5,1,8,-0.118,5,1,11,0.012
287,1,5,1,11,0.012,5,1,8,-0.118
288,1,5,1,11,0.012,5,1,11,-0.088
289,1,5,1,11,-0.088,5,1,11,0.012
290,1,5,1,11,-0.088,5,1,11,-0.088
291,1,5,1,11,-0.088,5,1,11,-0.088
292,1,5,1,8,-0.118,0,4,1,0.141
293,1,5,4,1,0.141,0,1,8,-0.118
294,1,5,1,8,-0.118,0,4,1,0.142
295,1,5,4,1,0.142,0,1,8,-0.118
296,1,5,1,11,-0.088,5,1,11,0.012
297,1,5,1,11,0.012,5,1,11,-0.088
298,1,5,1,11,0.012,5,1,8,-0.118
299,1,5,1,8,-0.118,5,1,11,0.012
300,1,5,1,8,-0.118,5,1,8,-0.118
301,1,5,1,8,-0.118,5,1,8,-0.118
302,1,5,1,8,-0.118,5,1,11,0.012
303,1,5,1,11,0.012,5,1,8,-0.118
304,1,5,1,8,-0.118,0,4,1,0.141
305,1,5,4,1,0.141,0,1,8,-0.118
306,1,5,1,8,-0.118,0,4,1,0.142
307,1,5,4,1,0.142,0,1,8,-0.118
308,1,5,1,11,0.012,5,1,8,-0.118
309,1,5,1,8,-0.118,5,1,11,0.012
310,1,5,1,8,-0.118,5,1,8,-0.118
311,1,5,1,8,-0.118,5,1,8,-0.118
312,1,5,1,8,-0.118,5,1,8,-0.118
313,1,5,1,8,-0.118,5,1,8,-0.118
314,1,5,1,8,-0.118,5,1,11,0.012
315,1,5,1,11,0.012,5,1,8,-0.118
316,1,5,1,8,-0.118,0,4,1,0.142
317,1,5,4,1,0.142,0,1,8,-0.118
318,1,5,1,8,-0.118,0,4,1,0.142
319,1,5,4,1,0.142,0,1,8,-0.118
320,1,5,1,8,-0.118,0,6,19,0.811
321,1,5,6,19,0.811,0,1,8,-0.118
322,1,5,6,19,0.811,1,7,20,-0.389
323,1,5,7,20,-0.389,1,6,19,0.811
324,1,5,6,19,0.811,1,7,20,-0.389
325,1,5,7,20,-0.389,1,6,19,0.811
326,1,6,1,8,-0.121,5,1,8,-0.121
327,1,6,1,8,-0.121,5,1,8,-0.121
328,1,6,1,8,-0.121,5,1,11,0.009
329,1,6,1,11,0.009,5,1,8,-0.121
330,1,6,1,11,0.009,5,1,11,-0.091
331,1,6,1,11,-0.091,5,1,11,0.009
332,1,6,1,11,-0.091,5,1,11,0.009
333,1,6,1,11,0.009,5,1,11,-0.091
334,1,6,1,11,0.009,5,1,8,-0.122
335,1,6,1,8,-0.122,5,1,11,0.009
336,1,6,1,8,-0.122,5,1,8,-0.121
337,1,6,1,8,-0.121,5,1,8,-0.122
338,1,6,1,11,0.009,5,1,8,-0.121
339,1,6,1,8,-0.121,5,1,11,0.009
340,1,6,1,8,-0.121,5,1,8,-0.121
341,1,6,1,8,-0.121,5,1,8,-0.121
342,1,6,1,8,-0.121,5,1,11,0.009
343,1,6,1,11,0.009,5,1,8,-0.121
344,1,6,1,11,0.009,5,1,11,-0.091
345,1,6,1,11,-0.091,5,1,11,0.009
346,1,6,1,11,-0.091,5,1,11,-0.091
347,1,6,1,11,-0.091,5,1,11,-0.091
348,1,6,1,11,-0.091,5,1,11,0.009
349,1,6,1,11,0.009,5,1,11,-0.091
350,1,6,1,11,0.009,5,1,8,0.009
351,1,6,1,8,0.009,5,1,11,0.009
352,1,6,1,8,0.009,5,1,8,0.009
353,1,6,1,8,0.009,5,1,8,0.009
354,1,6,1,8,0.009,5,1,11,0.009
355,1,6,1,11,0.009,5,1,8,0.009
356,1,6,1,11,0.009,5,1,8,-0.121
357,1,6,1,8,-0.121,5,1,11,0.009
358,1,6,1,8,-0.121,5,1,8,-0.121
359,1,6,1,8,-0.121,5,1,8,-0.121
360,1,6,1,8,-0.121,5,1,8,-0.122
361,1,6,1,8,-0.122,5,1,8,-0.121
362,1,6,1,8,-0.122,5,1,11,0.009
363,1,6,1,11,0.009,5,1,8,-0.122
364,1,6,1,8,0.009,0,1,3,-0.091
365,1,6,1,3,-0.091,0,1,8,0.009
366,1,6,1,3,-0.091,0,1,3,-0.091
367,1,6,1,3,-0.091,0,1,3,-0.091
368,1,6,1,3,-0.091,0,1,3,-0.091
369,1,6,1,3,-0.091,0,1,3,-0.091
370,1,6,1,3,-0.091,0,1,3,-0.091
371,1,6,1,3,-0.091,0,1,3,-0.091
372,1,6,1,3,-0.091,0,1,8,0.009
373,1,6,1,8,0.009,0,1,3,-0.091
374,1,6,1,8,-0.122,0,6,19,0.808
375,1,6,6,19,0.808,0,1,8,-0.122
376,1,6,6,19,0.808,1,7,20,-0.392
377,1,6,7,20,-0.392,1,6,19,0.808
378,1,6,6,19,0.808,1,7,20,-0.392
379,1,6,7,20,-0.392,1,6,19,0.808
380,1,6,1,8,-0.121,0,4,1,0.138
381,1,6,4,1,0.138,0,1,8,-0.121
382,1,6,1,8,-0.121,0,4,1,0.138
383,1,6,4,1,0.138,0,1,8,-0.121
384,1,6,1,8,-0.122,0,4,1,0.138
385,1,6,4,1,0.138,0,1,8,-0.122
386,1,6,1,8,-0.121,0,4,1,0.138
387,1,6,4,1,0.138,0,1,8,-0.121
388,1,6,1,8,-0.121,0,4,1,0.138
389,1,6,4,1,0.138,0,1,8,-0.121
390,1,6,1,8,-0.121,0,4,1,0.138
391,1,6,4,1,0.138,0,1,8,-0.121
392,1,6,1,8,-0.121,0,4,1,0.138
393,1,6,4,1,0.138,0,1,8,-0.121
394,1,6,1,3,-0.091,0,4,1,0.059
395,1,6,4,1,0.059,0,1,3,-0.091
396,1,6,1,3,-0.091,0,4,1,0.059
397,1,6,4,1,0.059,0,1,3,-0.091
398,1,6,1,3,-0.091,0,4,1,0.059
399,1,6,4,1,0.059,0,1,3,-0.091
400,1,6,1,3,-0.091,0,4,1,0.059
401,1,6,4,1,0.059,0,1,3,-0.091
402,1,6,1,3,-0.091,0,4,1,0.059
403,1,6,4,1,0.059,0,1,3,-0.091
404,1,6,1,3,-0.091,0,4,1,0.059
405,1,6,4,1,0.059,0,1,3,-0.091
406,1,6,1,3,-0.091,0,4,1,0.059
407,1,6,4,1,0.059,0,1,3,-0.091
408,1,6,1,3,-0.091,0,4,1,0.059
409,1,6,4,1,0.059,0,1,3,-0.091
410,1,7,1,8,-0.084,5,1,8,-0.084
411,1,7,1,8,-0.084,5,1,8,-0.084
412,1,7,1,8,-0.084,5,1,8,-0.084
413,1,7,1,8,-0.084,5,1,8,-0.084
414,1,7,1,8,-0.084,5,1,11,-0.054
415,1,7,1,11,-0.054,5,1,8,-0.084
416,1,7,1,11,-0.054,5,1,11,0.046
417,1,7,1,11,0.046,5,1,11,-0.054
418,1,7,1,11,0.046,5,1,8,-0.084
419,1,7,1,8,-0.084,5,1,11,0.046
420,1,7,1,8,-0.084,5,1,8,-0.084
421,1,7,1,8,-0.084,5,1,8,-0.084
422,1,7,1,8,-0.084,0,4,1,0.176
423,1,7,4,1,0.176,0,1,8,-0.084
424,1,7,1,8,-0.084,0,4,1,0.176
425,1,7,4,1,0.176,0,1,8,-0.084
426,1,7,1,8,-0.084,0,4,1,0.176
427,1,7,4,1,0.176,0,1,8,-0.084
428,1,7,1,11,-0.054,5,1,11,-0.054
429,1,7,1,11,-0.054,5,1,11,-0.054
430,1,7,1,11,-0.054,5,1,11,0.435
431,1,7,1,11,0.435,5,1,11,-0.054
432,1,7,1,11,0.435,5,6,17,-0.725
433,1,7,6,17,-0.725,5,1,11,0.435
434,1,7,6,17,-0.725,5,1,8,-0.084
435,1,7,1,8,-0.084,5,6,17,-0.725
436,1,7,1,8,-0.084,5,1,11,0.046
437,1,7,1,11,0.046,5,1,8,-0.084
438,1,7,1,8,-0.084,0,4,1,0.176
439,1,7,4,1,0.176,0,1,8,-0.084
440,1,7,1,11,-0.054,5,1,8,-0.084
441,1,7,1,8,-0.084,5,1,11,-0.054
442,1,7,1,8,-0.084,5,1,8,-0.084
443,1,7,1,8,-0.084,5,1,8,-0.084
444,1,7,1,8,-0.084,5,1,8,0.296
445,1,7,1,8,0.296,5,1,8,-0.084
446,1,7,1,8,0.296,5,6,17,-0.725
447,1,7,6,17,-0.725,5,1,8,0.296
448,1,7,6,17,-0.725,5,1,11,0.435
449,1,7,1,11,0.435,5,6,17,-0.725
450,1,7,1,8,-0.084,0,4,1,0.176
451,1,7,4,1,0.176,0,1,8,-0.084
452,1,7,1,8,-0.084,0,4,1,0.176
453,1,7,4,1,0.176,0,1,8,-0.084
454,1,7,1,8,0.296,0,4,1,0.176
455,1,7,4,1,0.176,0,1,8,0.296
456,1,7,1,8,-0.084,0,6,19,0.845
457,1,7,6,19,0.845,0,1,8,-0.084
458,1,7,6,19,0.845,1,7,20,-0.354
459,1,7,7,20,-0.354,1,6,19,0.845
460,1,7,6,19,0.845,1,7,20,-0.354
461,1,7,7,20,-0.354,1,6,19,0.845
462,1,8,1,8,-0.119,5,1,8,-0.119
463,1,8,1,8,-0.119,5,1,8,-0.119
464,1,8,1,8,-0.119,5,1,11,0.011
465,1,8,1,11,0.011,5,1,8,-0.119
466,1,8,1,11,0.011,5,1,11,-0.089
467,1,8,1,11,-0.089,5,1,11,0.011
468,1,8,1,11,-0.089,5,1,11,0.011
469,1,8,1,11,0.011,5,1,11,-0.089
470,1,8,1,11,0.011,5,1,8,-0.119
471,1,8,1,8,-0.119,5,1,11,0.011
472,1,8,1,8,-0.119,5,1,8,-0.119
473,1,8,1,8,-0.119,5,1,8,-0.119
474,1,8,1,8,-0.119,0,4,1,0.141
475,1,8,4,1,0.141,0,1,8,-0.119
476,1,8,1,8,-0.119,0,4,1,0.142
477,1,8,4,1,0.142,0,1,8,-0.119
478,1,8,1,8,-0.119,0,4,1,0.142
479,1,8,4,1,0.142,0,1,8,-0.119
480,1,8,1,11,0.011,5,1,8,-0.119
481,1,8,1,8,-0.119,5,1,11,0.011
482,1,8,1,8,-0.119,5,1,8,-0.119
483,1,8,1,8,-0.119,5,1,8,-0.119
484,1,8,1,8,-0.119,5,1,11,0.011
485,1,8,1,11,0.011,5,1,8,-0.119
486,1,8,1,11,0.011,5,1,11,-0.089
487,1,8,1,11,-0.089,5,1,11,0.011
488,1,8,1,11,-0.089,5,1,11,-0.089
489,1,8,1,11,-0.089,5,1,11,-0.089
490,1,8,1,8,-0.119,0,4,1,0.141
491,1,8,4,1,0.141,0,1,8,-0.119
492,1,8,1,8,-0.119,0,4,1,0.142
493,1,8,4,1,0.142,0,1,8,-0.119
494,1,8,1,11,-0.089,5,1,11,0.011
495,1,8,1,11,0.011,5,1,11,-0.089
496,1,8,1,11,0.011,5,1,8,0.262
497,1,8,1,8,0.262,5,1,11,0.011
498,1,8,1,8,0.262,5,1,8,-0.119
499,1,8,1,8,-0.119,5,1,8,0.262
500,1,8,1,8,-0.119,5,1,11,0.011
501,1,8,1,11,0.011,5,1,8,-0.119
502,1,8,1,8,-0.119,0,4,1,0.141
503,1,8,4,1,0.141,0,1,8,-0.119
504,1,8,1,11,0.011,5,1,8,-0.119
505,1,8,1,8,-0.119,5,1,11,0.011
506,1,8,1,8,-0.119,5,1,8,-0.119
507,1,8,1,8,-0.119,5,1,8,-0.119
508,1,8,1,8,-0.119,5,1,8,-0.119
509,1,8,1,8,-0.119,5,1,8,-0.119
510,1,8,1,8,-0.119,5,1,11,0.011
511,1,8,1,11,0.011,5,1,8,-0.119
512,1,8,1,8,-0.119,0,4,1,0.142
513,1,8,4,1,0.142,0,1,8,-0.119
514,1,8,1,8,-0.119,0,4,1,0.142
515,1,8,4,1,0.142,0,1,8,-0.119
516,1,8,1,8,-0.119,0,6,19,0.812
517,1,8,6,19,0.812,0,1,8,-0.119
518,1,8,1,8,0.262,0,7,23,-0.638
519,1,8,7,23,-0.638,0,1,8,0.262
520,1,8,6,19,0.812,1,7,20,-0.388
521,1,8,7,20,-0.388,1,6,19,0.812
522,1,8,6,19,0.812,1,7,20,-0.388
523,1,8,7,20,-0.388,1,6,19,0.812
524,1,8,7,23,-0.638,0,4,2,0.412
525,1,8,4,2,0.412,0,7,23,-0.638
526,1,9,1,8,-0.115,5,1,8,-0.115
527,1,9,1,8,-0.115,5,1,8,-0.115
528,1,9,1,8,-0.115,5,1,11,0.015
529,1,9,1,11,0.015,5,1,8,-0.115
530,1,9,1,11,0.015,5,1,11,-0.085
531,1,9,1,11,-0.085,5,1,11,0.015
532,1,9,1,11,-0.085,5,1,12,0.015
533,1,9,1,12,0.015,5,1,11,-0.085
534,1,9,1,12,0.015,5,1,8,-0.115
535,1,9,1,8,-0.115,5,1,12,0.015
536,1,9,1,8,-0.115,5,1,8,-0.115
537,1,9,1,8,-0.115,5,1,8,-0.115
538,1,9,1,8,-0.115,0,4,1,0.145
539,1,9,4,1,0.145,0,1,8,-0.115
540,1,9,1,8,-0.115,0,4,1,0.145
541,1,9,4,1,0.145,0,1,8,-0.115
542,1,9,1,11,0.015,5,1,8,-0.115
543,1,9,1,8,-0.115,5,1,11,0.015
544,1,9,1,8,-0.115,5,1,8,-0.115
545,1,9,1,8,-0.115,5,1,8,-0.115
546,1,9,1,8,-0.115,5,1,8,-0.115
547,1,9,1,8,-0.115,5,1,8,-0.115
548,1,9,1,8,-0.115,5,1,13,0.015
549,1,9,1,13,0.015,5,1,8,-0.115
550,1,9,1,13,0.015,5,1,11,-0.085
551,1,9,1,11,-0.085,5,1,13,0.015
552,1,9,1,8,-0.115,0,4,1,0.145
